Serving HTTP on 0.0.0.0 port 5000 (http://0.0.0.0:5000/) ...
127.0.0.1 - - [09/May/2026 23:59:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/May/2026 23:59:44] "GET /i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:06] "GET /farm.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:07] "GET /i18n.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2026 00:00:10] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/seasons-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/skills-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/npc-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/beginner.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/farm-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:11] "GET /images/card/fishing-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/community.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/mines-card.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/ginger.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/achievement.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/money.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:00:12] "GET /images/card/combat.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:01:14] "GET /seasons.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:01:15] "GET /i18n.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2026 00:01:15] "GET /images/seasons/seasons-banner.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:01:24] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:01:50] "GET /skills.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:01:50] "GET /i18n.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2026 00:01:50] "GET /images/skills/skills-banner.jpg HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:02:25] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:02:25] "GET /i18n.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2026 00:03:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:03:03] "GET /farm.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:03:50] "GET /farm.html HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 00:03:50] "GET /i18n.js HTTP/1.1" 304 -
